board,mark,label,move_num
000000000000000000000000000000000000000000,1,D,1
000000000000000000000000000000000000001000,2,D,2
000000000000000000000000000000000000201000,1,D,3
000000000000000000000000000000000000201100,2,D,4
000000000000000000000000000000000000201120,1,D,5
000000000000000000000000000000001000201120,2,D,6
000000000000000000000000000000021000201120,1,D,7
000000000000000000000000100000021000201120,2,D,8
000000000000000002000000100000021000201120,1,D,9
000000000000000002000000110000021000201120,2,D,10
000000000000000002200000110000021000201120,1,D,11
000000000010000002200000110000021000201120,2,D,12
000000000012000002200000110000021000201120,1,D,13
000010000012000002200000110000021000201120,2,D,14
000010000012000002200000110000021000221120,1,D,15
000010000012000002200000110001021000221120,2,D,16
000010000012000002200020110001021000221120,1,D,17
000010000012000102200020110001021000221120,2,D,18
000010002012000102200020110001021000221120,1,D,19
000110002012000102200020110001021000221120,2,D,20
020110002012000102200020110001021000221120,1,D,21
020110002012000102200020110001021000221121,2,D,22
020110002012000102200020110001021002221121,1,D,23
020110002012000102200020110001021012221121,2,D,24
020110002012000102200020110021021012221121,1,D,25
020110002012000102200020110121021012221121,2,D,26
020110002012000102202020110121021012221121,1,D,27
020110002012000102202120110121021012221121,2,D,28
020110002012002102202120110121021012221121,1,D,29
020110002012012102202120110121021012221121,2,D,30
020110202012012102202120110121021012221121,1,D,31
020110202012012102202120110121021112221121,2,D,32
020110202012012102202120112121021112221121,1,D,33
020110202012012102212120112121021112221121,2,D,34
020110202012012102212120112121221112221121,1,D,35
020110202012012102212121112121221112221121,2,D,36
020110202012012122212121112121221112221121,1,D,37
020110202112012122212121112121221112221121,2,D,38
020110222112012122212121112121221112221121,1,D,39
021110222112012122212121112121221112221121,2,D,40
221110222112012122212121112121221112221121,1,D,41
221110222112112122212121112121221112221121,2,D,42
000000000000000000000000000000000000000000,1,L,43
000000000000000000000000000000000000001000,2,W,44
000000000000000000000000000000000000201000,1,L,45
000000000000000000000000000000000000201100,2,W,46
000000000000000000000000000000000000201120,1,L,47
000000000000000000000000000000001000201120,2,W,48
000000000000000000000000000000021000201120,1,L,49
000000000000000000000000010000021000201120,2,W,50
000000000000000000200000010000021000201120,1,L,51
000000000000000000200000010000021100201120,2,W,52
000000000000000000200000012000021100201120,1,L,53
000000000000000000200000012000021100201121,2,W,54
000000000000000000200000012000021120201121,1,L,55
000000000000000000210000012000021120201121,2,W,56
000000000000000000210000012002021120201121,1,L,57
000000000000000000210000012102021120201121,2,W,58
000000000000000000210020012102021120201121,1,L,59
000000000000000000210020112102021120201121,2,W,60
000000000000000000000000000000000000000000,1,W,61
000000000000000000000000000000000000001000,2,L,62
000000000000000000000000000000000000201000,1,W,63
000000000000000000000000000000000000201100,2,L,64
000000000000000000000000000002000000201100,1,W,65
000000000000000000000000000002000000201110,2,L,66
000000000000000000000000000002000000221110,1,W,67
000000000000000000000000000000000000000000,1,W,68
000000000000000000000000000000000000000010,2,L,69
000000000000000000000000000000000000002010,1,W,70
000000000000000000000000000000000000012010,2,L,71
000000000000000000000000000000000002012010,1,W,72
000000000000000000000000000000000102012010,2,L,73
000000000000000000000000000000000102212010,1,W,74
000000000000000000000000000000010102212010,2,L,75
000000000000000000000000000002010102212010,1,W,76
000000000000000000000000000002010102212110,2,L,77
000000000000000000000000000002210102212110,1,W,78
000000000000000000000000100002210102212110,2,L,79
000000000000000000000000100022210102212110,1,W,80
000000000000000000000001100022210102212110,2,L,81
000000000000000000000001100022210102212112,1,W,82
000000000000000000000011100022210102212112,2,L,83
000000000000000000000211100022210102212112,1,W,84
000000000000000000000000000000000000000000,1,W,85
000000000000000000000000000000000000001000,2,L,86
000000000000000000000000000000000000201000,1,W,87
000000000000000000000000000000000000201100,2,L,88
000000000000000000000000000000000000201120,1,W,89
000000000000000000000000000000001000201120,2,L,90
000000000000000000000000000000021000201120,1,W,91
000000000000000000000000010000021000201120,2,L,92
000000000000000000000000210000021000201120,1,W,93
000000000000000000000000000000000000000000,1,W,94
000000000000000000000000000000000000001000,2,L,95
000000000000000000000000000000000000201000,1,W,96
000000000000000000000000000000000000201100,2,L,97
000000000000000000000000000000000000201120,1,W,98
000000000000000000000000000001000000201120,2,L,99
000000000000000000000000000001002000201120,1,W,100
000000000000000000000000010001002000201120,2,L,101
000000000000000000200000010001002000201120,1,W,102
000000000000000000200000010001002100201120,2,L,103
000000000000000000200000010001002100201122,1,W,104
000000000001000000200000010001002100201122,2,L,105
000000000001000000200000010001002120201122,1,W,106
000000000001000000200000011001002120201122,2,L,107
000000000001000000220000011001002120201122,1,W,108
000000000001100000220000011001002120201122,2,L,109
000000000001100000220020011001002120201122,1,W,110
000000000001100000220020011001002121201122,2,L,111
000000000001100000220020011201002121201122,1,W,112
000000000001100000221020011201002121201122,2,L,113
000000000001120000221020011201002121201122,1,W,114
000000000001120000221020011201012121201122,2,L,115
000000000001120000221020011201012121221122,1,W,116
000000000001120000221020011201112121221122,2,L,117
000000000001120000221020011221112121221122,1,W,118
000000000001120000221020111221112121221122,2,L,119
000000000001120000221022111221112121221122,1,W,120
000000000000000000000000000000000000000000,1,W,121
000000000000000000000000000000000000000100,2,L,122
000000000000000000000000000000000000002100,1,W,123
000000000000000000000000000000000000002110,2,L,124
000000000000000000000000000000020000002110,1,W,125
000000000000000000000000100000020000002110,2,L,126
000000000000000000000000100000020000022110,1,W,127
000000000000000000000000100000021000022110,2,L,128
000000000000000000000000120000021000022110,1,W,129
000000000000000001000000120000021000022110,2,L,130
000000000000000001000000120000021000222110,1,W,131
000000000000000001000000120000021001222110,2,L,132
000000000000000001000000120002021001222110,1,W,133
000000000010000001000000120002021001222110,2,L,134
000200000010000001000000120002021001222110,1,W,135
000200000010000001000000120002121001222110,2,L,136
000200000010000001000000120022121001222110,1,W,137
000200000010000001100000120022121001222110,2,L,138
000200000010000001100200120022121001222110,1,W,139
000200000010000001100200120022121001222111,2,L,140
000200000010002001100200120022121001222111,1,W,141
000200010010002001100200120022121001222111,2,L,142
200200010010002001100200120022121001222111,1,W,143
200200010010002001100210120022121001222111,2,L,144
200200010010002201100210120022121001222111,1,W,145
200200011010002201100210120022121001222111,2,L,146
200200011010002201100212120022121001222111,1,W,147
000000000000000000000000000000000000000000,1,W,148
000000000000000000000000000000000000001000,2,L,149
000000000000000000000000000000000000201000,1,W,150
000000000000000000000000000000000000201100,2,L,151
000000000000000000000000000000000000201120,1,W,152
000000000000000000000000000000001000201120,2,L,153
000000000000000000000000000000021000201120,1,W,154
000000000000000000000000010000021000201120,2,L,155
000000000000000000000000010000021000201122,1,W,156
000000000000000000000000000000000000000000,1,W,157
000000000000000000000000000000000000001000,2,L,158
000000000000000000000000000000000000201000,1,W,159
000000000000000000000000000000000000201100,2,L,160
000000000000000000000000000000000000201102,1,W,161
000000000000000000000000000000010000201102,2,L,162
000000000000000000000000000000012000201102,1,W,163
000000000000000000000000000000012000211102,2,L,164
000000000000000000000000000000012000211122,1,W,165
000000000000000000000000100000012000211122,2,L,166
000000000000000000000000100000212000211122,1,W,167
000000000000000000000000000000000000000000,1,W,168
000000000000000000000000000000000000001000,2,L,169
000000000000000000000000000000000000201000,1,W,170
000000000000000000000000000000000000201100,2,L,171
000000000000000000000000000000000000201120,1,W,172
000000000000000000000000000000001000201120,2,L,173
000000000000000000000000000000021000201120,1,W,174
000000000000000000000000010000021000201120,2,L,175
000000000000000000200000010000021000201120,1,W,176
000000000000000000200000010000021100201120,2,L,177
000000000000000000200000012000021100201120,1,W,178
000000000000000000200000012000021100201121,2,L,179
000000000000000000200000012000021120201121,1,W,180
000000000000000000210000012000021120201121,2,L,181
000000000002000000210000012000021120201121,1,W,182
000000000002000000210000012001021120201121,2,L,183
000000000002200000210000012001021120201121,1,W,184
000000000002200000210010012001021120201121,2,L,185
000000000002200200210010012001021120201121,1,W,186
000000000002200200210010012001021121201121,2,L,187
000000000002200200210010012201021121201121,1,W,188
000000000002200200211010012201021121201121,2,L,189
000002000002200200211010012201021121201121,1,W,190
000002000002200200211010012201021121211121,2,L,191
000002000002220200211010012201021121211121,1,W,192
000002000002220200211010112201021121211121,2,L,193
000002000002220200211010112201221121211121,1,W,194
000000000000000000000000000000000000000000,1,W,195
000000000000000000000000000000000000001000,2,L,196
000000000000000000000000000000000000201000,1,W,197
000000000000000000000000000000000000201100,2,L,198
000000000000000000000000000000000000201120,1,W,199
000000000000000000000000000000001000201120,2,L,200
000000000000000000000000000000001200201120,1,W,201
000000000000000000000000010000001200201120,2,L,202
000000000000000000200000010000001200201120,1,W,203
000000000000000000200000011000001200201120,2,L,204
000000000000000000220000011000001200201120,1,W,205
000000000001000000220000011000001200201120,2,L,206
000000000001200000220000011000001200201120,1,W,207
000000000001200000220000011001001200201120,2,L,208
000000000001200000220020011001001200201120,1,W,209
000000000001200000220020011001001200211120,2,L,210
000000000001200000220020011001201200211120,1,W,211
000000000001200000220021011001201200211120,2,L,212
000000000001200200220021011001201200211120,1,W,213
000000000001200200220021011001201201211120,2,L,214
000000000001200200220021011001221201211120,1,W,215
000000000001200200220021011011221201211120,2,L,216
000000000001200200220021211011221201211120,1,W,217
000000000000000000000000000000000000000000,1,W,218
000000000000000000000000000000000000001000,2,L,219
000000000000000000000000000000000000201000,1,W,220
000000000000000000000000000000000000201100,2,L,221
000000000000000000000000000002000000201100,1,W,222
000000000000000000000000000002000000201110,2,L,223
000000000000000000000000000002000000221110,1,W,224
000000000000000000000000000000000000000000,1,L,225
000000000000000000000000000000000000001000,2,W,226
000000000000000000000000000000000000201000,1,L,227
000000000000000000000000000000000000201100,2,W,228
000000000000000000000000000000000000201120,1,L,229
000000000000000000000000000000001000201120,2,W,230
000000000000000000000000000000021000201120,1,L,231
000000000000000000000000000000021000201121,2,W,232
000000000000000000000000000002021000201121,1,L,233
000000000000000000000000010002021000201121,2,W,234
000000000000000000200000010002021000201121,1,L,235
000000000000000000200000010002021100201121,2,W,236
000000000000000000200000012002021100201121,1,L,237
000000000000000000200000012002021110201121,2,W,238
000000000000000000200020012002021110201121,1,L,239
000000000000000000200020012002021111201121,2,W,240
000000000000000000000000000000000000000000,1,L,241
000000000000000000000000000000000000001000,2,W,242
000000000000000000000000000000000000201000,1,L,243
000000000000000000000000000000000000201100,2,W,244
000000000000000000000000000000000000201120,1,L,245
000000000000000000000000000000001000201120,2,W,246
000000000000000000000000000000021000201120,1,L,247
000000000000000000000000010000021000201120,2,W,248
000000000000000000200000010000021000201120,1,L,249
000000000000000000200000010000021100201120,2,W,250
000000000000000000200000012000021100201120,1,L,251
000000000000000000200000012000021100201121,2,W,252
000000000000000000200000012000021120201121,1,L,253
000000000000000000210000012000021120201121,2,W,254
000000000002000000210000012000021120201121,1,L,255
000000000002000000210000012001021120201121,2,W,256
000000000002200000210000012001021120201121,1,L,257
000000000002200000210000112001021120201121,2,W,258
000000000002200002210000112001021120201121,1,L,259
000000000002200002210000112001021121201121,2,W,260
000000000002200002210000112021021121201121,1,L,261
000000000012200002210000112021021121201121,2,W,262
000000000012200002210020112021021121201121,1,L,263
000000000012200102210020112021021121201121,2,W,264
000002000012200102210020112021021121201121,1,L,265
000002001012200102210020112021021121201121,2,W,266
000202001012200102210020112021021121201121,1,L,267
000212001012200102210020112021021121201121,2,W,268
000212001012200102210020112221021121201121,1,L,269
000212001012200102211020112221021121201121,2,W,270
000212001012200102211220112221021121201121,1,L,271
000212001012200102211220112221021121211121,2,W,272
020212001012200102211220112221021121211121,1,L,273
020212001012210102211220112221021121211121,2,W,274
020212201012210102211220112221021121211121,1,L,275
020212201012210102211220112221121121211121,2,W,276
000000000000000000000000000000000000000000,1,W,277
000000000000000000000000000000000000000001,2,L,278
000000000000000000000000000000000000002001,1,W,279
000000000000000000000000000000000000002101,2,L,280
000000000000000000000000000000000000022101,1,W,281
000000000000000000000000000000001000022101,2,L,282
000000000000000000000000000000001000022121,1,W,283
000000000000000000000000000000101000022121,2,L,284
000000000000000000000000000000121000022121,1,W,285
000000000000000000000000010000121000022121,2,L,286
000000000000000000200000010000121000022121,1,W,287
000000000000000000200000010000121100022121,2,L,288
000000000000000000200000012000121100022121,1,W,289
000000000000000000200000012000121101022121,2,L,290
000000000002000000200000012000121101022121,1,W,291
000010000002000000200000012000121101022121,2,L,292
000010000002000000220000012000121101022121,1,W,293
000010000002000000220000012000121101122121,2,L,294
000010000002000000220000012000121121122121,1,W,295
000010000002100000220000012000121121122121,2,L,296
000010000002100000220000012200121121122121,1,W,297
000010000002100000221000012200121121122121,2,L,298
