board,mark,label,move_num
000000000000000000000000000000000000000000,1,D,1
000000000000000000000000000000000000001000,2,D,2
000000000000000000000000000000000000201000,1,D,3
000000000000000000000000000000000000211000,2,D,4
000000000000000000000000000002000000211000,1,D,5
000000000000000000000010000002000000211000,2,D,6
000000000000000000000010000002200000211000,1,D,7
000000000000000000000011000002200000211000,2,D,8
000000000000000000000011000002200000211200,1,D,9
000000000000000000000011000002210000211200,2,D,10
000000000000000000000011200002210000211200,1,D,11
000000000000000010000011200002210000211200,2,D,12
000000000000000210000011200002210000211200,1,D,13
000000000000000211000011200002210000211200,2,D,14
000000000020000211000011200002210000211200,1,D,15
000000000020000211000011200002210000211210,2,D,16
000000000220000211000011200002210000211210,1,D,17
000000001220000211000011200002210000211210,2,D,18
000000001220000211000011200002212000211210,1,D,19
000100001220000211000011200002212000211210,2,D,20
002100001220000211000011200002212000211210,1,D,21
002100001220000211000011200002212000211211,2,D,22
002100001220000211000011200002212200211211,1,D,23
002100001220000211000011201002212200211211,2,D,24
002100001220000211020011201002212200211211,1,D,25
002100001220100211020011201002212200211211,2,D,26
002102001220100211020011201002212200211211,1,D,27
002102001220100211020011201002212201211211,2,D,28
002102001220100211020011201022212201211211,1,D,29
002102001220100211020011201022212211211211,2,D,30
002102001220100211020011221022212211211211,1,D,31
002102001220100211120011221022212211211211,2,D,32
002102001222100211120011221022212211211211,1,D,33
002102001222100211120011221122212211211211,2,D,34
002102001222100211122011221122212211211211,1,D,35
002112001222100211122011221122212211211211,2,D,36
022112001222100211122011221122212211211211,1,D,37
022112001222100211122111221122212211211211,2,D,38
022112001222102211122111221122212211211211,1,D,39
022112011222102211122111221122212211211211,2,D,40
222112011222102211122111221122212211211211,1,D,41
222112011222112211122111221122212211211211,2,D,42
000000000000000000000000000000000000000000,1,W,43
000000000000000000000000000000000000001000,2,L,44
000000000000000000000000000000000000001002,1,W,45
000000000000000000000000000000000000011002,2,L,46
000000000000000000000000000000000000211002,1,W,47
000000000000000000000000000000010000211002,2,L,48
000000000000000000000000000002010000211002,1,W,49
000000000000000000000000000002010000211102,2,L,50
000000000000000000000000000002010000211122,1,W,51
000000000000000000000000000002011000211122,2,L,52
000000000000000000000000000002011200211122,1,W,53
000000000000000000000000100002011200211122,2,L,54
000000000000000002000000100002011200211122,1,W,55
000000000000000002000000110002011200211122,2,L,56
000000000000000002000000112002011200211122,1,W,57
000000000000000000000000000000000000000000,1,W,58
000000000000000000000000000000000000001000,2,L,59
000000000000000000000000000000000000201000,1,W,60
000000000000000000000000000000000000201100,2,L,61
000000000000000000000000000000000000201120,1,W,62
000000000000000000000000000000001000201120,2,L,63
000000000000000000000000000000021000201120,1,W,64
000000000000000000000000010000021000201120,2,L,65
000000000000000000200000010000021000201120,1,W,66
000000000000000000200000010000021100201120,2,L,67
000000000000000000200000010002021100201120,1,W,68
000000000000000000200000011002021100201120,2,L,69
000000000000000000200000011002021102201120,1,W,70
000000000000000000200000111002021102201120,2,L,71
000000000000000002200000111002021102201120,1,W,72
000000000000000002210000111002021102201120,2,L,73
000000000000200002210000111002021102201120,1,W,74
000000000000200002210010111002021102201120,2,L,75
000000000020200002210010111002021102201120,1,W,76
000100000020200002210010111002021102201120,2,L,77
000100000020200002210010111002021102221120,1,W,78
000100000021200002210010111002021102221120,2,L,79
000100000021200002210010111002221102221120,1,W,80
000000000000000000000000000000000000000000,1,L,81
000000000000000000000000000000000000001000,2,W,82
000000000000000000000000000000000000201000,1,L,83
000000000000000000000000000000000000201100,2,W,84
000000000000000000000000000000000000201120,1,L,85
000000000000000000000000000000001000201120,2,W,86
000000000000000000000000000000001000221120,1,L,87
000000000000000000000000010000001000221120,2,W,88
000000000000000000200000010000001000221120,1,L,89
000000000000000000200000010000101000221120,2,W,90
000000000000000000200000010000121000221120,1,L,91
000000000000000000200001010000121000221120,2,W,92
000000000000000020200001010000121000221120,1,L,93
000000000100000020200001010000121000221120,2,W,94
000000000100000020200001010000121002221120,1,L,95
000000000100000020200001010000121102221120,2,W,96
000000000100000020200001012000121102221120,1,L,97
000000000101000020200001012000121102221120,2,W,98
000000000101000020220001012000121102221120,1,L,99
000000000101000020220001012000121102221121,2,W,100
000000000101000020220001012000121122221121,1,L,101
000000000101100020220001012000121122221121,2,W,102
000002000101100020220001012000121122221121,1,L,103
000012000101100020220001012000121122221121,2,W,104
000012000101100020220001012020121122221121,1,L,105
001012000101100020220001012020121122221121,2,W,106
001012000101100020220001012220121122221121,1,L,107
001012000101100020220101012220121122221121,2,W,108
001012000101100020222101012220121122221121,1,L,109
001012000101110020222101012220121122221121,2,W,110
001012000101112020222101012220121122221121,1,L,111
001012000101112020222101012221121122221121,2,W,112
001012000101112020222121012221121122221121,1,L,113
001012100101112020222121012221121122221121,2,W,114
001012100101112220222121012221121122221121,1,L,115
001012100101112220222121112221121122221121,2,W,116
000000000000000000000000000000000000000000,1,L,117
000000000000000000000000000000000000001000,2,W,118
000000000000000000000000000000000000201000,1,L,119
000000000000000000000000000000000000201100,2,W,120
000000000000000000000000000000000000201120,1,L,121
000000000000000000000000000000001000201120,2,W,122
000000000000000000000000000000021000201120,1,L,123
000000000000000000000000010000021000201120,2,W,124
000000000000000000200000010000021000201120,1,L,125
000000000000000000200000010000021100201120,2,W,126
000000000000000000200000012000021100201120,1,L,127
000000000000000000200000012000021100201121,2,W,128
000000000000000000200000012000021120201121,1,L,129
000000000000000000210000012000021120201121,2,W,130
000000000000000000210000012002021120201121,1,L,131
000000000000000000210000012102021120201121,2,W,132
000000000000000000210020012102021120201121,1,L,133
000000000000000100210020012102021120201121,2,W,134
000000000002000100210020012102021120201121,1,L,135
000000001002000100210020012102021120201121,2,W,136
000020001002000100210020012102021120201121,1,L,137
000020001002000100211020012102021120201121,2,W,138
000020001002020100211020012102021120201121,1,L,139
000020001002120100211020012102021120201121,2,W,140
000020201002120100211020012102021120201121,1,L,141
000021201002120100211020012102021120201121,2,W,142
000021201002120100211020012102021120221121,1,L,143
000021201002120100211020012102121120221121,2,W,144
000021201002120100211022012102121120221121,1,L,145
000021201002120100211022112102121120221121,2,W,146
000021201002120102211022112102121120221121,1,L,147
000021201002120102211022112102121121221121,2,W,148
000000000000000000000000000000000000000000,1,L,149
000000000000000000000000000000000000001000,2,W,150
000000000000000000000000000000000000201000,1,L,151
000000000000000000000000000000000000201100,2,W,152
000000000000000000000000000000000000201120,1,L,153
000000000000000000000000000000001000201120,2,W,154
000000000000000000000000000000021000201120,1,L,155
000000000000000000000000010000021000201120,2,W,156
000000000000000000200000010000021000201120,1,L,157
000000000000000000200000010000021100201120,2,W,158
000000000000000000200000012000021100201120,1,L,159
000000000000000000200000012000021100201121,2,W,160
000000000000000000200000012000021120201121,1,L,161
000000000000000000210000012000021120201121,2,W,162
000000000000000000210000012002021120201121,1,L,163
000000000000000000210000012102021120201121,2,W,164
000000000000000000212000012102021120201121,1,L,165
000000000000000000212000112102021120201121,2,W,166
000000000000000000212020112102021120201121,1,L,167
000000000000100000212020112102021120201121,2,W,168
000000000000000000000000000000000000000000,1,W,169
000000000000000000000000000000000000001000,2,L,170
000000000000000000000000000000000000201000,1,W,171
000000000000000000000000000000000000201100,2,L,172
000000000000000000000000000000000000201120,1,W,173
000000000000000000000000000001000000201120,2,L,174
000000000000000000000000000001002000201120,1,W,175
000000000000000000000000010001002000201120,2,L,176
000000000000000000200000010001002000201120,1,W,177
000000000000000000200000010001002100201120,2,L,178
000000000000000000200000010001002100201122,1,W,179
000000000000000000200010010001002100201122,2,L,180
000000000000000000200010010001002102201122,1,W,181
000000000000000000200010010001002102211122,2,L,182
000000000000000000200010010001022102211122,1,W,183
000000000000000100200010010001022102211122,2,L,184
000000002000000100200010010001022102211122,1,W,185
000000002000000100200010110001022102211122,2,L,186
000000002000000100200010110001022122211122,1,W,187
000000002000000100200010111001022122211122,2,L,188
000000002000000100200010111201022122211122,1,W,189
000000002000000100201010111201022122211122,2,L,190
000000002000000102201010111201022122211122,1,W,191
000000002000000102211010111201022122211122,2,L,192
000000002000200102211010111201022122211122,1,W,193
000000002010200102211010111201022122211122,2,L,194
000000002012200102211010111201022122211122,1,W,195
000100002012200102211010111201022122211122,2,L,196
000102002012200102211010111201022122211122,1,W,197
000112002012200102211010111201022122211122,2,L,198
020112002012200102211010111201022122211122,1,W,199
020112002012200102211010111211022122211122,2,L,200
020112002012200102211010111211222122211122,1,W,201
000000000000000000000000000000000000000000,1,W,202
000000000000000000000000000000000000001000,2,L,203
000000000000000000000000000000000000201000,1,W,204
000000000000000000000000000000000000201100,2,L,205
000000000000000000000000000000000000201120,1,W,206
000000000000000000000000000000001000201120,2,L,207
000000000000000000000000000000021000201120,1,W,208
000000000000000000000000010000021000201120,2,L,209
000000000000000000200000010000021000201120,1,W,210
000000000000000000200000010000021100201120,2,L,211
000000000000000000200000012000021100201120,1,W,212
000000000000000000200000012000021100201121,2,L,213
000000000000000000200000012000021120201121,1,W,214
000000000000000000210000012000021120201121,2,L,215
000000000000000000210000212000021120201121,1,W,216
000000000000000000000000000000000000000000,1,L,217
000000000000000000000000000000000000001000,2,W,218
000000000000000000000000000000000000201000,1,L,219
000000000000000000000000000000000000201100,2,W,220
000000000000000000000000000000000000201120,1,L,221
000000000000000000000000000000001000201120,2,W,222
000000000000000000000000000000001200201120,1,L,223
000000000000000000000000010000001200201120,2,W,224
000000000000000000200000010000001200201120,1,L,225
000000000000000000200000011000001200201120,2,W,226
000000000000000000220000011000001200201120,1,L,227
000000000001000000220000011000001200201120,2,W,228
000000000001200000220000011000001200201120,1,L,229
000000000001200000220000011001001200201120,2,W,230
000000000001200000220020011001001200201120,1,L,231
000000000001200100220020011001001200201120,2,W,232
000020000001200100220020011001001200201120,1,L,233
000021000001200100220020011001001200201120,2,W,234
000021000001200100220020011001001202201120,1,L,235
000021000001200100220020011001011202201120,2,W,236
000021000001200100220020211001011202201120,1,L,237
000021000001200101220020211001011202201120,2,W,238
000021000021200101220020211001011202201120,1,L,239
000021001021200101220020211001011202201120,2,W,240
000021001021200101220020211021011202201120,1,L,241
000121001021200101220020211021011202201120,2,W,242
000121001021200101220220211021011202201120,1,L,243
000121001021201101220220211021011202201120,2,W,244
020121001021201101220220211021011202201120,1,L,245
020121001021201101220220211021011202211120,2,W,246
000000000000000000000000000000000000000000,1,L,247
000000000000000000000000000000000000001000,2,W,248
000000000000000000000000000000000000201000,1,L,249
000000000000000000000000000000000000201100,2,W,250
000000000000000000000000000000000000201120,1,L,251
000000000000000000000000000000001000201120,2,W,252
000000000000000000000000000000021000201120,1,L,253
000000000000000000000000010000021000201120,2,W,254
000000000000000000200000010000021000201120,1,L,255
000000000000000000200000010000021100201120,2,W,256
000000000000000000200000012000021100201120,1,L,257
000000000000000000200000012001021100201120,2,W,258
000000000000000000220000012001021100201120,1,L,259
000000000000000000220000012001021100201121,2,W,260
000000000000000000220000012001021120201121,1,L,261
000000000001000000220000012001021120201121,2,W,262
000000000001000000220000012201021120201121,1,L,263
000000000001100000220000012201021120201121,2,W,264
000000000001100000222000012201021120201121,1,L,265
000000000001110000222000012201021120201121,2,W,266
000000000001110000222020012201021120201121,1,L,267
000000000001110100222020012201021120201121,2,W,268
000000000001110100222020012201021122201121,1,L,269
000000000001110100222020012201021122211121,2,W,270
000000000001110100222020012221021122211121,1,L,271
000000000001110100222120012221021122211121,2,W,272
000000002001110100222120012221021122211121,1,L,273
000000002001110100222120012221121122211121,2,W,274
000000002001110100222122012221121122211121,1,L,275
000000002001110110222122012221121122211121,2,W,276
000000002201110110222122012221121122211121,1,L,277
001000002201110110222122012221121122211121,2,W,278
001020002201110110222122012221121122211121,1,L,279
001021002201110110222122012221121122211121,2,W,280
001021202201110110222122012221121122211121,1,L,281
001021202201110110222122112221121122211121,2,W,282
000000000000000000000000000000000000000000,1,W,283
000000000000000000000000000000000000001000,2,L,284
000000000000000000000000000000000000201000,1,W,285
000000000000000000000000000000000000201100,2,L,286
000000000000000000000000000000020000201100,1,W,287
000000000000000000000000000000020000201110,2,L,288
000000000000000000000000000000020000221110,1,W,289
000000000000000000000000000000000000000000,1,D,290
000000000000000000000000000000000000001000,2,D,291
000000000000000000000000000000000000201000,1,D,292
000000000000000000000000000000000000201100,2,D,293
000000000000000000000000000000000000201120,1,D,294
000000000000000000000000000000001000201120,2,D,295
000000000000000000000000000000021000201120,1,D,296
000000000000000000000000010000021000201120,2,D,297
000000000000000000200000010000021000201120,1,D,298
