board,mark,label,move_num
000000000000000000000000000000000000201120,1,W,152
000000000000000000000000000000001000201120,2,L,153
000000000000000000000000000000021000201120,1,W,154
000000000000000000000000010000021000201120,2,L,155
000000000000000000000000010000021000221120,1,W,156
000000000000000000000000010001021000221120,2,L,157
000000000000000000000000210001021000221120,1,W,158
000000000000000000000000000000000000000000,1,L,159
000000000000000000000000000000000000001000,2,W,160
000000000000000000000000000000000000201000,1,L,161
000000000000000000000000000000000000201100,2,W,162
000000000000000000000000000000000000201120,1,L,163
000000000000000000000000000000000000201121,2,W,164
000000000000000000000000000000020000201121,1,L,165
000000000000000000000000000000020010201121,2,W,166
000000000000000000000000200000020010201121,1,L,167
000000000000000000000000200000021010201121,2,W,168
000000000000000000000000220000021010201121,1,L,169
000000000000000000100000220000021010201121,2,W,170
000000000000000000100000220000021010221121,1,L,171
000000000000000000100000220100021010221121,2,W,172
000000000000000000102000220100021010221121,1,L,173
000000000000000001102000220100021010221121,2,W,174
000000000000000001102000220100221010221121,1,L,175
000000000000000001102001220100221010221121,2,W,176
000000000000000001102001220102221010221121,1,L,177
000000000000000011102001220102221010221121,2,W,178
000000000020000011102001220102221010221121,1,L,179
000000000120000011102001220102221010221121,2,W,180
000000000120000011102001220102221012221121,1,L,181
000000000120000011102001220102221112221121,2,W,182
000000000000000000000000000000000000000000,1,D,183
000000000000000000000000000000000000001000,2,D,184
000000000000000000000000000000000000201000,1,D,185
000000000000000000000000000000000000201100,2,D,186
000000000000000000000000000000000000201120,1,D,187
000000000000000000000000000000001000201120,2,D,188
000000000000000000000000000000021000201120,1,D,189
000000000000000000000000010000021000201120,2,D,190
000000000000000000200000010000021000201120,1,D,191
000000000000000000200000010000021100201120,2,D,192
000000000000000000200000012000021100201120,1,D,193
000000000000000000200000012000021100201121,2,D,194
000000000000000000200000012000021120201121,1,D,195
000000000000000000210000012000021120201121,2,D,196
000000000000000000210000012002021120201121,1,D,197
000000000001000000210000012002021120201121,2,D,198
000000000001000000210020012002021120201121,1,D,199
000000000001000100210020012002021120201121,2,D,200
000000000001000100210020012002021120221121,1,D,201
000000001001000100210020012002021120221121,2,D,202
020000001001000100210020012002021120221121,1,D,203
020000001001000100210020112002021120221121,2,D,204
020000001001000102210020112002021120221121,1,D,205
020000001011000102210020112002021120221121,2,D,206
020000001011000102210020112002021122221121,1,D,207
020000001011000102210020112012021122221121,2,D,208
020000001011200102210020112012021122221121,1,D,209
020100001011200102210020112012021122221121,2,D,210
020100001011200102210020112212021122221121,1,D,211
020100001011200102210120112212021122221121,2,D,212
020100001011200102212120112212021122221121,1,D,213
020100001011210102212120112212021122221121,2,D,214
020102001011210102212120112212021122221121,1,D,215
020102001011211102212120112212021122221121,2,D,216
020102021011211102212120112212021122221121,1,D,217
020112021011211102212120112212021122221121,2,D,218
020112021011211102212120112212221122221121,1,D,219
020112021011211102212121112212221122221121,2,D,220
020112021011211122212121112212221122221121,1,D,221
020112021111211122212121112212221122221121,2,D,222
220112021111211122212121112212221122221121,1,D,223
221112021111211122212121112212221122221121,2,D,224
000000000000000000000000000000000000000000,1,W,225
000000000000000000000000000000000000000001,2,L,226
000000000000000000000000000000000000000021,1,W,227
000000000000000000000000000000000000001021,2,L,228
000000000000000000000000000000000000021021,1,W,229
000000000000000000000000000000000001021021,2,L,230
000000000000000000000000000000000201021021,1,W,231
000000000000000000000000001000000201021021,2,L,232
000000000000000000000000001000020201021021,1,W,233
000000000000000000000000001000020201121021,2,L,234
000000000000000000000000001000020201121221,1,W,235
000000000000000000000000001000021201121221,2,L,236
000000000000000000000000001000221201121221,1,W,237
000000000000000000000000011000221201121221,2,L,238
000000000000000000000000011002221201121221,1,W,239
000000000000000000000000011012221201121221,2,L,240
000000000000000000000002011012221201121221,1,W,241
000000000000000010000002011012221201121221,2,L,242
000000000000000010200002011012221201121221,1,W,243
000000000000000010200002111012221201121221,2,L,244
000000000000000012200002111012221201121221,1,W,245
000000000001000012200002111012221201121221,2,L,246
000000000001000012200002111012221221121221,1,W,247
000000000000000000000000000000000000000000,1,W,248
000000000000000000000000000000000000001000,2,L,249
000000000000000000000000000000000000201000,1,W,250
000000000000000000000000000000000000201100,2,L,251
000000000000000000000000000000002000201100,1,W,252
000000000000000000000000000000002000201110,2,L,253
000000000000000000000000000000002000221110,1,W,254
000000000000000000000000000000000000000000,1,W,255
000000000000000000000000000000000000001000,2,L,256
000000000000000000000000000000000000201000,1,W,257
000000000000000000000000000000000000201100,2,L,258
000000000000000000000000000000000000201120,1,W,259
000000000000000000000000000000001000201120,2,L,260
000000000000000000000000000000021000201120,1,W,261
000000000000000000000000010000021000201120,2,L,262
000000000000000000000000210000021000201120,1,W,263
000000000000000000000000000000000000000000,1,L,264
000000000000000000000000000000000000001000,2,W,265
000000000000000000000000000000000000201000,1,L,266
000000000000000000000000000000000000201100,2,W,267
000000000000000000000000000000000000201120,1,L,268
000000000000000000000000000000001000201120,2,W,269
000000000000000000000000000000021000201120,1,L,270
000000000000000000000000000001021000201120,2,W,271
000000000000000000000000020001021000201120,1,L,272
000000000000000000000010020001021000201120,2,W,273
000000000000000000000010220001021000201120,1,L,274
000000000000000100000010220001021000201120,2,W,275
000000002000000100000010220001021000201120,1,L,276
000000002000000101000010220001021000201120,2,W,277
000000002000000101200010220001021000201120,1,L,278
000000002010000101200010220001021000201120,2,W,279
000000002010000101200010220001021000221120,1,L,280
000000002010000101200010220001121000221120,2,W,281
000000002010000101200012220001121000221120,1,L,282
000000002010000111200012220001121000221120,2,W,283
000000002010000111200012220001121200221120,1,L,284
000000002010000111200012221001121200221120,2,W,285
000000000000000000000000000000000000000000,1,L,286
000000000000000000000000000000000000001000,2,W,287
000000000000000000000000000000000000201000,1,L,288
000000000000000000000000000000000000201100,2,W,289
000000000000000000000000000000000000201120,1,L,290
000000000000000000000000000000001000201120,2,W,291
000000000000000000000000000000021000201120,1,L,292
000000000000000000000000000001021000201120,2,W,293
000000000000000000000000020001021000201120,1,L,294
000000000000000000100000020001021000201120,2,W,295
000000000000000000100000020001021000221120,1,L,296
000000000000000000100000120001021000221120,2,W,297
000000000000000002100000120001021000221120,1,L,298
000000000000000002100000120001121000221120,2,W,299
000000000000000002100002120001121000221120,1,L,300
000000000000000002100002120001121100221120,2,W,301
000000000000000022100002120001121100221120,1,L,302
000000000010000022100002120001121100221120,2,W,303
000000000012000022100002120001121100221120,1,L,304
000000000112000022100002120001121100221120,2,W,305
002000000112000022100002120001121100221120,1,L,306
002000000112000022100002120001121101221120,2,W,307
002200000112000022100002120001121101221120,1,L,308
002210000112000022100002120001121101221120,2,W,309
002210000112000022100002120021121101221120,1,L,310
002210000112000022100002120021121101221121,2,W,311
002210000112000022100022120021121101221121,1,L,312
002210000112000122100022120021121101221121,2,W,313
002210002112000122100022120021121101221121,1,L,314
012210002112000122100022120021121101221121,2,W,315
012210002112000122100022120021121121221121,1,L,316
012210002112000122100022120121121121221121,2,W,317
012210002112000122100222120121121121221121,1,L,318
012210002112000122100222121121121121221121,2,W,319
000000000000000000000000000000000000000000,1,W,320
000000000000000000000000000000000000000001,2,L,321
000000000000000000000000000000000000002001,1,W,322
000000000000000000000000000000000000012001,2,L,323
000000000000000000000000000000020000012001,1,W,324
000000000000000000000000100000020000012001,2,L,325
000000000000000002000000100000020000012001,1,W,326
000000000000000002000000100000020001012001,2,L,327
000000000000000002000000100000020001012201,1,W,328
000000000000000002000000100000021001012201,2,L,329
000000000000000002000000100000021001012221,1,W,330
000000000000000002000000100000121001012221,2,L,331
000000000000000002000002100000121001012221,1,W,332
000000000000000012000002100000121001012221,2,L,333
000000000000000012000002120000121001012221,1,W,334
000000000000000012100002120000121001012221,2,L,335
000000000000000012100002120000121001212221,1,W,336
000000000100000012100002120000121001212221,2,L,337
000000000102000012100002120000121001212221,1,W,338
000000000102000012100002120001121001212221,2,L,339
000000000102000012100002120001121201212221,1,W,340
000000000102000012100002121001121201212221,2,L,341
000000000122000012100002121001121201212221,1,W,342
000100000122000012100002121001121201212221,2,L,343
002100000122000012100002121001121201212221,1,W,344
002110000122000012100002121001121201212221,2,L,345
002110000122000012100002121021121201212221,1,W,346
002110000122000012100012121021121201212221,2,L,347
002110000122000012120012121021121201212221,1,W,348
000000000000000000000000000000000000000000,1,L,349
000000000000000000000000000000000000001000,2,W,350
000000000000000000000000000000000000001020,1,L,351
000000000000000000000000000000000000011020,2,W,352
000000000000000000000000000000000000211020,1,L,353
