board,mark,label,move_num
000000000000000000000000000000000000000000,1,L,1
000000000000000000000000000000000000001000,2,W,2
000000000000000000000000000000020000001000,1,L,3
000000000000000000000000000000020000001010,2,W,4
000000000000000000000000200000020000001010,1,L,5
000000000000000001000000200000020000001010,2,W,6
000000000020000001000000200000020000001010,1,L,7
000100000020000001000000200000020000001010,2,W,8
000100000020000001000000200000020000001012,1,L,9
000100000020000001000000200000020000101012,2,W,10
000100000020000001000000200000020000101212,1,L,11
000100000020000001000000200000020010101212,2,W,12
000100000020000001000000200000022010101212,1,L,13
000100000020000001000000200100022010101212,2,W,14
000100000020000001000000220100022010101212,1,L,15
000100000020000001001000220100022010101212,2,W,16
000100000020020001001000220100022010101212,1,L,17
000100100020020001001000220100022010101212,2,W,18
000000000000000000000000000000000000000000,1,W,19
000000000000000000000000000000000000001000,2,L,20
000000000000000000000000000000000000001002,1,W,21
000000000000000000000000000000000000011002,2,L,22
000000000000000000000000000000020000011002,1,W,23
000000000000000000000000100000020000011002,2,L,24
000000000000000002000000100000020000011002,1,W,25
000000000010000002000000100000020000011002,2,L,26
000200000010000002000000100000020000011002,1,W,27
000200000010000002000000100000020000011102,2,L,28
000200000010000002000000100000020000011122,1,W,29
000200000010000002000000100000021000011122,2,L,30
000200000010000002000000100000021200011122,1,W,31
000200000010000002000000110000021200011122,2,L,32
000200000010000002000000110000021220011122,1,W,33
000000000000000000000000000000000000000000,1,L,34
000000000000000000000000000000000000000010,2,W,35
000000000000000000000000000000000000002010,1,L,36
000000000000000000000000000000000100002010,2,W,37
000000000000000000000000000000020100002010,1,L,38
000000000000000000000000100000020100002010,2,W,39
000000000000000002000000100000020100002010,1,L,40
000000000010000002000000100000020100002010,2,W,41
000000000010000002000000100000020102002010,1,L,42
000100000010000002000000100000020102002010,2,W,43
000100000010000002000000100000020102002210,1,L,44
000100000010000002000000100000020102002211,2,W,45
000100000010000002000000100000022102002211,1,L,46
000100000010000002000000100000022112002211,2,W,47
000100000010000002000000100200022112002211,1,L,48
000100000010000002000000100210022112002211,2,W,49
000100000010000002002000100210022112002211,1,L,50
000100000010010002002000100210022112002211,2,W,51
000100200010010002002000100210022112002211,1,L,52
000100200010010002002000110210022112002211,2,W,53
000100200010010002202000110210022112002211,1,L,54
000100200011010002202000110210022112002211,2,W,55
000100200011010002202000110210022112202211,1,L,56
000110200011010002202000110210022112202211,2,W,57
000110200011010002202000112210022112202211,1,L,58
000110200011010002202100112210022112202211,2,W,59
000110200011012002202100112210022112202211,1,L,60
000110200011012002202100112210022112212211,2,W,61
000110220011012002202100112210022112212211,1,L,62
000110220011012002212100112210022112212211,2,W,63
000110220011012002212100112210222112212211,1,L,64
000110220011112002212100112210222112212211,2,W,65
000000000000000000000000000000000000000000,1,L,66
000000000000000000000000000000000000001000,2,W,67
000000000000000000000000000000020000001000,1,L,68
000000000000000000000000100000020000001000,2,W,69
000000000000000002000000100000020000001000,1,L,70
000000000010000002000000100000020000001000,2,W,71
000200000010000002000000100000020000001000,1,L,72
000200000010000002000000100000020000011000,2,W,73
000200000010000002000000100000020000211000,1,L,74
000200000010000002000000100000020000211100,2,W,75
000200000010000002000000100000022000211100,1,L,76
000200000010000002000000100000022001211100,2,W,77
000200000010000002000000120000022001211100,1,L,78
000200000010000002100000120000022001211100,2,W,79
000200000010000002100000120020022001211100,1,L,80
000200000011000002100000120020022001211100,2,W,81
000220000011000002100000120020022001211100,1,L,82
000220000011000002100000120020122001211100,2,W,83
000220000011000002100000120020122001211120,1,L,84
000220000011000002100000120020122101211120,2,W,85
000220000011000002100000122020122101211120,1,L,86
000220000011000002100000122021122101211120,2,W,87
000220000011000002120000122021122101211120,1,L,88
000220000011000002120001122021122101211120,2,W,89
000220000011200002120001122021122101211120,1,L,90
000220000011200002120011122021122101211120,2,W,91
000000000000000000000000000000000000000000,1,L,92
000000000000000000000000000000000000001000,2,W,93
000000000000000000000000000000000002001000,1,L,94
000000000000000000000000000000010002001000,2,W,95
000000000000000000000000200000010002001000,1,L,96
000000000000000000000000200000010002001001,2,W,97
000000000000000000000000200000010002001201,1,L,98
000000000000000001000000200000010002001201,2,W,99
000000000020000001000000200000010002001201,1,L,100
000100000020000001000000200000010002001201,2,W,101
000100000020000001000000200000012002001201,1,L,102
000100000020000001000000210000012002001201,2,W,103
000100000020000001000000210000012002021201,1,L,104
000100000020000001000000210000012002021211,2,W,105
000100000020000001200000210000012002021211,1,L,106
000100000020000001200000210000012102021211,2,W,107
000100000020000001200000210000212102021211,1,L,108
000100000020000001200000210000212112021211,2,W,109
000100000020000001200002210000212112021211,1,L,110
000100000020000001200002211000212112021211,2,W,111
000000000000000000000000000000000000000000,1,W,112
000000000000000000000000000000000000001000,2,L,113
000000000000000000000000000000020000001000,1,W,114
000000000000000000000000100000020000001000,2,L,115
000000000000000000000000100000020000201000,1,W,116
000000000000000001000000100000020000201000,2,L,117
000000000000000001000000100000020000201200,1,W,118
000000000010000001000000100000020000201200,2,L,119
000200000010000001000000100000020000201200,1,W,120
000200000010000001000000100000021000201200,2,L,121
000200000010000001000000120000021000201200,1,W,122
000200000010000001100000120000021000201200,2,L,123
000200000012000001100000120000021000201200,1,W,124
000210000012000001100000120000021000201200,2,L,125
000210000012000001100000120000021000221200,1,W,126
000210000012000001100000120000121000221200,2,L,127
000210000012000001100002120000121000221200,1,W,128
000210000012000011100002120000121000221200,2,L,129
000210000012000011100002120002121000221200,1,W,130
000210000112000011100002120002121000221200,2,L,131
000210000112000011100022120002121000221200,1,W,132
000000000000000000000000000000000000000000,1,W,133
000000000000000000000000000000000000001000,2,L,134
000000000000000000000000000000020000001000,1,W,135
000000000000000000000000100000020000001000,2,L,136
000000000000000002000000100000020000001000,1,W,137
000000000010000002000000100000020000001000,2,L,138
000200000010000002000000100000020000001000,1,W,139
000200000010000002000000100000020000001100,2,L,140
000200000010000002000000100000020000001102,1,W,141
000200000010000002000000100000021000001102,2,L,142
000200000010000002000000120000021000001102,1,W,143
000200000010000002100000120000021000001102,2,L,144
000200000012000002100000120000021000001102,1,W,145
000210000012000002100000120000021000001102,2,L,146
000210000012000002100000120000021000021102,1,W,147
000210000012000002100000120000121000021102,2,L,148
000210000012000002100002120000121000021102,1,W,149
000210000012000002100002120000121000021112,2,L,150
000210000012000002100002120000121020021112,1,W,151
000000000000000000000000000000000000000000,1,W,152
000000000000000000000000000000000000001000,2,L,153
000000000000000000000000000000020000001000,1,W,154
000000000000000000000000100000020000001000,2,L,155
000000000000000002000000100000020000001000,1,W,156
000000000010000002000000100000020000001000,2,L,157
000200000010000002000000100000020000001000,1,W,158
000200000010000002000000100000020000001100,2,L,159
000200000010000002000000100000020000021100,1,W,160
000200000010000002000000100000021000021100,2,L,161
000200000010000002000000100000021000021102,1,W,162
000200000010000002000000110000021000021102,2,L,163
000200000010000002000000110000021000021122,1,W,164
000000000000000000000000000000000000000000,1,W,165
000000000000000000000000000000000001000000,2,L,166
000000000000000000000000000020000001000000,1,W,167
000000000000000000000000000020000001000010,2,L,168
000000000000000000000000000020000001002010,1,W,169
000000000000000000000000000020000001012010,2,L,170
000000000000000000000000000020020001012010,1,W,171
000000000000000000000000100020020001012010,2,L,172
000000000000000002000000100020020001012010,1,W,173
000000000010000002000000100020020001012010,2,L,174
000200000010000002000000100020020001012010,1,W,175
000200000010000002000000100020020001012110,2,L,176
