board,mark,label,move_num
000000000000000000000000000000000000000000,1,W,152
000000000000000000000000000000000000001000,2,L,153
000000000000000000000000000000020000001000,1,W,154
000000000000000000000000100000020000001000,2,L,155
000000000000000002000000100000020000001000,1,W,156
000000000010000002000000100000020000001000,2,L,157
000200000010000002000000100000020000001000,1,W,158
000200000010000002000000100000020000001100,2,L,159
000200000010000002000000100000020000021100,1,W,160
000200000010000002000000100000021000021100,2,L,161
000200000010000002000000100000021000021120,1,W,162
000200000010000002000000110000021000021120,2,L,163
000200000010000002000000110000021200021120,1,W,164
000000000000000000000000000000000000000000,1,L,165
000000000000000000000000000000000000001000,2,W,166
000000000000000000000000000000020000001000,1,L,167
000000000000000000000000000000020000001100,2,W,168
000000000000000000000000200000020000001100,1,L,169
000000000000000000000000200000020000011100,2,W,170
000000000000000000000000200000020000011120,1,L,171
000000000000000000000000200000020100011120,2,W,172
000000000000000000000000202000020100011120,1,L,173
000000000000000000010000202000020100011120,2,W,174
000000000000200000010000202000020100011120,1,L,175
000001000000200000010000202000020100011120,2,W,176
000001000000200002010000202000020100011120,1,L,177
000001000000200002010000202000020100011121,2,W,178
000000000000000000000000000000000000000000,1,L,179
000000000000000000000000000000000000001000,2,W,180
000000000000000000000000000000020000001000,1,L,181
000000000000000000000000100000020000001000,2,W,182
000000000000000002000000100000020000001000,1,L,183
000000000010000002000000100000020000001000,2,W,184
000200000010000002000000100000020000001000,1,L,185
000200000010000002000000100000020000001100,2,W,186
000200000010000002000000100000022000001100,1,L,187
000200000010000002000000110000022000001100,2,W,188
000200000010000002200000110000022000001100,1,L,189
000200000011000002200000110000022000001100,2,W,190
000200000011000002200000110000022000001102,1,L,191
000210000011000002200000110000022000001102,2,W,192
000210000011000002200000110000022000021102,1,L,193
000210000011000002200000110000022000121102,2,W,194
000210000011000002200000110000222000121102,1,L,195
000210000011000002200001110000222000121102,2,W,196
000210000011000022200001110000222000121102,1,L,197
000210000011000022200001110000222000121112,2,W,198
000000000000000000000000000000000000000000,1,W,199
000000000000000000000000000000000000001000,2,L,200
000000000000000000000000000000020000001000,1,W,201
000000000000000000000000100000020000001000,2,L,202
000000000000000002000000100000020000001000,1,W,203
000000000010000002000000100000020000001000,2,L,204
000200000010000002000000100000020000001000,1,W,205
000200000010000002000000100000020000001100,2,L,206
000200000010000002000000100000022000001100,1,W,207
000200000010000002000000110000022000001100,2,L,208
000200000010000002200000110000022000001100,1,W,209
000200000011000002200000110000022000001100,2,L,210
000220000011000002200000110000022000001100,1,W,211
000220000011000002200000110000022000001110,2,L,212
000220000011000002200000110000022000001112,1,W,213
000000000000000000000000000000000000000000,1,L,214
000000000000000000000000000000000000001000,2,W,215
000000000000000000000000000000020000001000,1,L,216
000000000000000000000000100000020000001000,2,W,217
000000000000000002000000100000020000001000,1,L,218
000000000010000002000000100000020000001000,2,W,219
000200000010000002000000100000020000001000,1,L,220
000200000010000002000000100000020000001100,2,W,221
000200000010000002000000100000022000001100,1,L,222
000200000010000002000000110000022000001100,2,W,223
000200000010000002200000110000022000001100,1,L,224
000200000010000002200000110000022001001100,2,W,225
000200000012000002200000110000022001001100,1,L,226
000210000012000002200000110000022001001100,2,W,227
000210000012000002200000110000022001021100,1,L,228
000210000012000002200000110000022001021101,2,W,229
000210000012000002200000110000222001021101,1,L,230
000210000012000002200001110000222001021101,2,W,231
000210000012000022200001110000222001021101,1,L,232
000210000112000022200001110000222001021101,2,W,233
002210000112000022200001110000222001021101,1,L,234
002210000112000022200001110000222001021111,2,W,235
000000000000000000000000000000000000000000,1,L,236
000000000000000000000000000000000000001000,2,W,237
000000000000000000000000000000020000001000,1,L,238
000000000000000000000000100000020000001000,2,W,239
000000000000000002000000100000020000001000,1,L,240
000000000000000002000000100000020000001001,2,W,241
000000000020000002000000100000020000001001,1,L,242
000100000020000002000000100000020000001001,2,W,243
000100000020000002000000100000020000001201,1,L,244
000100000020000002000000100000021000001201,2,W,245
000100000020000002000000120000021000001201,1,L,246
000100000020000002100000120000021000001201,2,W,247
000100000022000002100000120000021000001201,1,L,248
000110000022000002100000120000021000001201,2,W,249
000110000022000002100000120000021000021201,1,L,250
000110000022000002100000120000021000021211,2,W,251
000110000022000002100000120000221000021211,1,L,252
000110000022000002100000120000221100021211,2,W,253
000110000022000002100002120000221100021211,1,L,254
000110000022000002100002121000221100021211,2,W,255
000000000000000000000000000000000000000000,1,W,256
000000000000000000000000000000000000001000,2,L,257
000000000000000000000000000000020000001000,1,W,258
000000000000000000000000100000020000001000,2,L,259
000000000000000002000000100000020000001000,1,W,260
000000000000000002000000100000020000101000,2,L,261
000000000020000002000000100000020000101000,1,W,262
000000000020000002000000100000020000101100,2,L,263
000200000020000002000000100000020000101100,1,W,264
000200000020000002000000100000021000101100,2,L,265
000200000020000002000000120000021000101100,1,W,266
000200000020000002100000120000021000101100,2,L,267
000200000022000002100000120000021000101100,1,W,268
000210000022000002100000120000021000101100,2,L,269
000210000022000002100000120000021000121100,1,W,270
000210000022000002100000120000121000121100,2,L,271
000210000022000002100002120000121000121100,1,W,272
000210000022000002100002120000121000121110,2,L,273
000210000022000002100002120000121200121110,1,W,274
000000000000000000000000000000000000000000,1,L,275
000000000000000000000000000000000000000100,2,W,276
000000000000000000000000000000000000002100,1,L,277
000000000000000000000000000000010000002100,2,W,278
000000000000000000000000200000010000002100,1,L,279
000000000000000001000000200000010000002100,2,W,280
000000000020000001000000200000010000002100,1,L,281
000100000020000001000000200000010000002100,2,W,282
000100000020000001000000200000010000022100,1,L,283
000100000020000001000000200000110000022100,2,W,284
000100000020000001000000200000112000022100,1,L,285
000100000020000001000000200000112000022110,2,W,286
000100000020000001000000220000112000022110,1,L,287
000100000020000001000000220000112100022110,2,W,288
000100000020000001200000220000112100022110,1,L,289
000100000020000001200000221000112100022110,2,W,290
000000000000000000000000000000000000000000,1,W,291
000000000000000000000000000000000000001000,2,L,292
000000000000000000000000000000020000001000,1,W,293
000000000000000000000000100000020000001000,2,L,294
000000000000000002000000100000020000001000,1,W,295
000000000010000002000000100000020000001000,2,L,296
000200000010000002000000100000020000001000,1,W,297
000200000010000002000000100000020000001100,2,L,298
000200000010000002000000100000022000001100,1,W,299
000200000010000002000000110000022000001100,2,L,300
000200000010000002200000110000022000001100,1,W,301
000200000011000002200000110000022000001100,2,L,302
000220000011000002200000110000022000001100,1,W,303
000220000011000002200000110000022000001101,2,L,304
000220000011000002200000110000022000201101,1,W,305
000220000011000002200000110000022000211101,2,L,306
000220000011000002200000110000022000211121,1,W,307
000220000011000002200000110000122000211121,2,L,308
000220000011000002200000110000122200211121,1,W,309
000220000011000002200001110000122200211121,2,L,310
000220000011000002200001112000122200211121,1,W,311
000000000000000000000000000000000000000000,1,L,312
000000000000000000000000000000000000001000,2,W,313
000000000000000000000000000000020000001000,1,L,314
000000000000000000000000000000020001001000,2,W,315
000000000000000000000000200000020001001000,1,L,316
000000000000000001000000200000020001001000,2,W,317
000000000020000001000000200000020001001000,1,L,318
000100000020000001000000200000020001001000,2,W,319
000100000020000001000000200000020001001200,1,L,320
000100000020000001000000200000021001001200,2,W,321
000100000020000001000000220000021001001200,1,L,322
000100000020000001100000220000021001001200,2,W,323
000100000022000001100000220000021001001200,1,L,324
000110000022000001100000220000021001001200,2,W,325
000110000022000001100000220000021001001220,1,L,326
000110000022000001100000220000021001001221,2,W,327
000110000022000001100000220000021001021221,1,L,328
000110000022000001100000220000021101021221,2,W,329
000110000022000001100000220000221101021221,1,L,330
000110000022000001100000220000221101121221,2,W,331
000110000022000001100002220000221101121221,1,L,332
000110000022000001100002220001221101121221,2,W,333
000000000000000000000000000000000000000000,1,W,334
000000000000000000000000000000000000001000,2,L,335
000000000000000000000000000000000000001002,1,W,336
000000000000000000000000000000010000001002,2,L,337
000000000000000000000000200000010000001002,1,W,338
000000000000000001000000200000010000001002,2,L,339
000000000020000001000000200000010000001002,1,W,340
000100000020000001000000200000010000001002,2,L,341
000100000020000001000000200000010000001202,1,W,342
000100000020000001000000200000011000001202,2,L,343
000100000020000001000000220000011000001202,1,W,344
000100000020000001100000220000011000001202,2,L,345
000100000022000001100000220000011000001202,1,W,346
000110000022000001100000220000011000001202,2,L,347
000110000022000001100000220000011000021202,1,W,348
000110000022000001100000220000011000021212,2,L,349
000110000022000001100000220000211000021212,1,W,350
000110000022000001100001220000211000021212,2,L,351
000110000022000021100001220000211000021212,1,W,352
000110000022000021100001220000211100021212,2,L,353
000110000222000021100001220000211100021212,1,W,354
000110000222000021100001221000211100021212,2,L,355
002110000222000021100001221000211100021212,1,W,356
002110000222000021100001221000211101021212,2,L,357
002110000222000021120001221000211101021212,1,W,358
000000000000000000000000000000000000000000,1,W,359
000000000000000000000000000000000000001000,2,L,360
000000000000000000000000000000020000001000,1,W,361
000000000000000000000000100000020000001000,2,L,362
000000000000000000000000100000020000201000,1,W,363
000000000000000000000000100001020000201000,2,L,364
000000000000000002000000100001020000201000,1,W,365
000000000010000002000000100001020000201000,2,L,366
000200000010000002000000100001020000201000,1,W,367
000200000010000002000000100001020000201100,2,L,368
000200000010000002000000100001020000201102,1,W,369
000200000010000002000000100001021000201102,2,L,370
000200000010000002000000100001021002201102,1,W,371
000200000010000002000000110001021002201102,2,L,372
000200000010000002200000110001021002201102,1,W,373
000200000011000002200000110001021002201102,2,L,374
000220000011000002200000110001021002201102,1,W,375
000220000011000002200000110001021002211102,2,L,376
000220000011000002200000110001021002211122,1,W,377
000220000011000002200000110001121002211122,2,L,378
000220000011000002200000110001121202211122,1,W,379
000220000011000002200001110001121202211122,2,L,380
000220000011000002200001112001121202211122,1,W,381
000000000000000000000000000000000000000000,1,L,382
000000000000000000000000000000000000001000,2,W,383
000000000000000000000000000000020000001000,1,L,384
000000000000000000000000100000020000001000,2,W,385
000000000000000002000000100000020000001000,1,L,386
000000000010000002000000100000020000001000,2,W,387
000200000010000002000000100000020000001000,1,L,388
000200000010000002000000100000020000001100,2,W,389
000200000010000002000000100000020000001102,1,L,390
000200000010000002000000100000020000001112,2,W,391
000200000010000002000000100000020020001112,1,L,392
000200000010000002000000100000021020001112,2,W,393
000200000010000002000000100200021020001112,1,L,394
000200000010000002000000110200021020001112,2,W,395
000000000000000000000000000000000000000000,1,W,396
000000000000000000000000000000000000001000,2,L,397
000000000000000000000000000000020000001000,1,W,398
000000000000000000000000100000020000001000,2,L,399
000000000000000002000000100000020000001000,1,W,400
000000000010000002000000100000020000001000,2,L,401
000200000010000002000000100000020000001000,1,W,402
000200000010000002000000100000020000101000,2,L,403
000200000010000002000000100000020000101200,1,W,404
000200000010000002000000100000021000101200,2,L,405
000200000010000002000000120000021000101200,1,W,406
000200000010000002000000120001021000101200,2,L,407
000200000010000002200000120001021000101200,1,W,408
000200000011000002200000120001021000101200,2,L,409
000220000011000002200000120001021000101200,1,W,410
000220000011000002200000120001021000111200,2,L,411
000220000011000002200000120001021000111220,1,W,412
000220000011000002200000120001121000111220,2,L,413
000220000011000002200000120001121200111220,1,W,414
000220000011000002200001120001121200111220,2,L,415
000220000011000002200001122001121200111220,1,W,416
000220000011000002210001122001121200111220,2,L,417
000220000011200002210001122001121200111220,1,W,418
000000000000000000000000000000000000000000,1,W,419
